Name,Price
2册零基础Python+Java从入门到精通基础教程基础核心进阶实战编程书籍 R,69.80
Python高级编程 第2版(异步图书出品),74.50
Python高手修炼之道：数据处理与机器学习实战,39.50
正版 PYTHON程序设计（第3版微课版） 董付国 清华大学出版社 9787302550839,54.50
Python 黑帽子：黑客与渗透测试编程之道(博文视点出品),27.50
【现货包邮】Python语言程序设计基础 第2版 嵩天 第二版 教育部大学计算机课程改革项目规划教材,32.80
自然语言处理入门 Python/Java双代码实现(图灵出品),82.90
Python科学计算(第2版)（附光盘）,100.30
跟我一起玩Python编程(共2册):教孩子快速掌握编程技巧,79.20
正版 PYTHON程序设计（第3版微课版） 董付国 清华大学出版社 9787302550839,54.50
Python在机器学习中的应用python从入门到精通基于python的大数据分析基础及实践编程入门,114.70
PYTHON数据结构与算法分析 第2版,58.50
Effective Python：编写高质量Python代码的59个有效方法,45.80
教孩子学编程 Python语言版(异步图书出品),49.40
跟老齐学Python：Django实战(博文视点出品),34.50
流畅的Python/图灵程序设计丛书,99.30
2020新版 Python编程从入门到实践第二版第2版python数据分析网络爬虫开发实战编程入门书,58.50
Python数据可视化之美：专业图表绘制指南（全彩）(博文视点出品),65.00
对比Excel，轻松学习Python数据分析 ,44.30
Python自然语言处理(异步图书出品),74.50
数据结构与算法：Python语言实现,76.30
正版 父与子的编程之旅：与小卡特一起学PYTHON（第3版）（美）沃伦·桑德 人民邮电 青少年Py,91.40
Python核心编程第3版Python核心编程第三版+Python编程快速上手 入门基础知识,180.00
5本 深度学习 深度学习入门 Python编程基础 神经网络编程 TensorFlow 人工智能书籍,326.00
Python入门三剑客：零基础编程+数据分析+机器学习（京东套装3册）,224.80
利用Python进行数据分析（原书第2版）,79.00
Python3反爬虫原理与绕过实战+python3网络爬虫开发实战+Python网络爬虫权*指南,205.80
正版 JUPYTER NOTEBOOK数据分析入门与实战 （日）池内孝启 Python学习利器 数,77.20
Python与量化投资 从基础到实战 王小川 Python量化投资策略分析技术工具 金融数据分,77.22
流畅的Python,100.10
编程猫中国孩子的编程学习读本：玩着也能学编程+玩着也能学Python（套装共2册）,174.20
包邮 Python 从入门到精通系列,310.00
青少年学Python(异步图书出品),66.20
